Card Name,Card Typing,Effigy Costs,Casting Cost,Text Box,Strength,Lifespan,Timer,Arrows (Clockwise top center = 1),Set,Effigy type,Rarity,Watch
AmaTangi ,"Turanga, Being","1 Faithless, 1 Bleeding",2,"""Perceived as weak for releasing their inner spirits, they have been cast out to wander the wilderness"" .",0,3,XXX,"2, 3, 7, 8",1,Bleeding,C,0
Anahk-sha,"Giant, Being","2 Faithless, 1 Bleeding",3,"Does not Disengage during start of turn.
Once per turn Pay (1) Bleeding Essence: Disengage.",4,4,XXX,"1, 4, 6",1,Bleeding,C,0
Ay-gruhda,"Turanga, Being",2 Bleeding,2,Engage: Move target Armament you control to a tile this points to.,2,1,XXX,"1, 3, 7",1,Bleeding,U,0
Blacksmithing,Conjuring,"1 Faithless, 1 Bleeding",2,Add an Armament to hand from deck.,XXX,XXX,XXX,XXX,1,Bleeding,R,0
Blood Rites,Conjuring,"X, Bleeding",X,"Add an Armament that costs (X) from deck to hand.
Until the end of turn, each Bleeding Essence in its cost may be paid with (10) lifespan instead.",XXX,XXX,XXX,XXX,1,Bleeding,R,1
Book of Mahatzu,Relic,"1 Faithless, 1 Bleeding",2,"Engage: Discard a Spirit, add a Turanga to hand from your Purgatory.
Martyr: Add a Spirit to hand from deck.

""The illustrations are so life like, I want to make a catalogue raisonne out of it."" Great Great Great Grand Son of Mahatzu  ",XXX,XXX,XXX,XXX,1,Bleeding,R,0
Cobra,"Serpent, Being","1 Faithless, 1 Bleeding",2,"Depart: Summon a Snake Skin token on this tile.
(1 cost - Relic - Armament token - Being gains +0/+2).",1,2,XXX,1,1,Bleeding,C,0
Conscription,Prophecy,2 Bleeding,2,"All Beings move forward if possible. Any that move do not disengage during disengage step. 
If none move, choose two Beings they Engage in combat.",XXX,XXX,2,XXX,1,Bleeding,R,1
Crucible,Relic,2 Bleeding,2,"When Summoned gain (2) Forge Counters. 
Remove (1) Forge Counter: Engage then add an Armament to hand from your Purgatory.",XXX,XXX,XXX,XXX,1,Bleeding,R,1
Cursed Commission,Prophecy,1 Bleeding,1,"Summon a Cursed Cutlass token on a tile this points to.
(Cost 2 Bleeding - Relic - Armament-  Animated Being gains +1/+1).",XXX,XXX,2,5,1,Bleeding,C,0
Cutlass,"Relic, Armament",2 Bleeding,2,"Attached Being has +1/+0
When the attached Being dies sacrifice this and summon a Cursed Cutlass token on this tile.",XXX,XXX,XXX,XXX,1,Bleeding,C,0
Dancing Swords,"Relic, Armament",1 Bleeding,1,"Animated. (While in the Mortal Realm this is treated as a Being. Other Beings may still move on top of this Armament. Any effects that target either a Being or Armament may target this while in play)
Being gains +1/+1.",1,1,XXX,"1, 2, 8",1,Bleeding,U,1
Darmah-Triya ,"Turanga, Being",2 Bleeding,2,Gains +0/+3 if you control a Turanaga other than Darmah-Triya.,1,2,XXX,1,1,Bleeding,C,0
Darmah-Triya Bracers,"Relic, Armament","1 Faithless, 1 Bleeding",2,"Attached Being has: Engage: ""Deal (2) Damage to this, then add (1) Bleeding Essence"". 

""My Flesh for My people, My Blood for my Deity""",XXX,XXX,XXX,XXX,1,Bleeding,C,0
Desperate Finale,Conjuring,4 Bleeding,4,"As an additonal cost to conjure: Pay Lifespan equal to the Lifespan of target engaged Being you control.
That Being fights without engaging. 
Sacrifice it at the end of the turn.",XXX,XXX,XXX,XXX,1,Bleeding,U,1
Feathers of the Fallen ,"Relic, Armament",1 Bleeding,1,"When summoned gain (2) Crossing Counters.
 Engage: Remove (1) Crossing Counter, then move attached Being one tile in any direction.",XXX,XXX,XXX,XXX,1,Bleeding,R,0
For the Greater Good ,"Ethereal, Conjuring",1 Bleeding,1,Discard a Being: Draw one card. If you discarded a Turanga draw one additional card.  ,XXX,XXX,XXX,XXX,1,Bleeding,C,0
Forge Master ,"Giant, Being","1 Faithless, 2 Bleeding",3,"Engage: Sacrifice an Armament, then draw one card.",2,2,XXX,"1, 5",1,Bleeding,U,0
Goblin,"Goblin, Being",1 Bleeding,1,"""Scurrying between and below others, many don't even notice them stealing and collecting their scraps"".",0,1,XXX,"1, 3",1,Bleeding,C,0
Kalmahka,Prophecy,2 Bleeding,2,"Gain (1) Time Counter
Armaments you control are 3/1 Relic - Armaments with ""Animated. Attached Being has +0/+0"" and lose all other text",XXX,XXX,3,XXX,1,Bleeding,Sacred,0
Little Giant,"Giant, Being",2 Bleeding,2,"""He's not your regular moron...."" ",2,2,XXX,1,1,Bleeding,C,0
Lotus,Relic,3 Bleeding,3,"Once per turn, when a Turanga you control dies: Add a Spirit from deck to hand. 
Once per turn, when a Spirit you control dies: Add a Turanga from deck to hand.",XXX,XXX,XXX,XXX,1,Bleeding,U,0
Mahka-Rahva,"Turanga, Being, Deity",3 Bleeding,3,"All Armaments you control move to the tile this is summoned on.
 When summoned this Diety immediately moves without engaging.",4,4,XXX,"1, 2, 3, 4, 5, 6, 7, 8",1,Bleeding,Sacred,0
Mahka-Rahva's Tiger Skin,"Relic, Armament",2 Bleeding,2,Sacrifice this to give attached being a Favored Counter until the end of turn.,XXX,XXX,XXX,XXX,1,Bleeding,Sacred,0
Metal Worker,"Human, Being",3 Bleeding,3,"Once per turn, you may Pay (1) Bleeding Essence: The next Relic you summon this turn costs (-2) Faithless.",2,2,XXX,1,1,Bleeding,U,0
Monstrous Worm,"Serpent, Being","2 Faithless, 1 Bleeding",3,"""At what size does a worm become something else something more slithery?""  - Vermeologist",3,3,XXX,1,1,Bleeding,C,0
Peaceful Protestor,"Turanga, Being","2 Faithless, 1 Bleeding",3,"Can not attack.

""He passes on the fist, all four of them.""",0,4,XXX,"2, 3, 7, 8",1,Bleeding,C,0
Persitent Recruit,"Turanga, Being",1 Bleeding,1,Persist,1,1,XXX,1,1,Bleeding,C,0
Prepare for Battle,Conjuring,1 Bleeding,1,Target Being you control moves to a tile with an Armament on it.,XXX,XXX,XXX,XXX,1,Bleeding,U,1
Rhak-tùrin Altar,Altar,2 Bleeding,2,"As an aditional cost to Conjure: Deal (3) Damage to a Turanga you control.
Craft (1) additional Effigy on your turn.
(Conjures in the Effigy Zone)",XXX,XXX,XXX,XXX,1,Bleeding,U,0
Rhak-tùrin Zealot,"Human, Being",1 Bleeding,1,Engage: Add (1) Bleeding Essence then deal (1) Damage to this.,1,2,XXX,1,1,Bleeding,C,0
Rusted Rapier,"Relic, Armament","1 Faithless, 1 Bleeding",2,Being has +1/+0.,XXX,XXX,XXX,XXX,1,Bleeding,C,0
Scrap Shot,Conjuring,2 Bleeding,2,"Sacrifice an Armament, then deal damage equal to it's total cost to any target.",XXX,XXX,XXX,XXX,1,Bleeding,U,0
Scrap Smith,"Goblin, Being","2 Faithless, 2 Bleeding",4,"Once Per turn shuffle an Armament into deck from your Purgatory, then add (1) Bleeding Essence.",2,2,XXX,1,1,Bleeding,U,0
Seasoned Forge Master ,"Being, Giant","2 Faithless, 2 Bleeding",4,Once per turn Sacrifice an Armament: Draw (1) card.,3,3,XXX,"3, 5, 7, 8, 6",1,Bleeding,R,0
Sha-KaRah,"Turanga, Being",2 Bleeding,2,Pay (5) Lifespan to move an adjacent Armament one tile in any direction.,1,2,XXX,"1, 5",1,Bleeding,U,1
Sharpshoot,"Ethereal, Conjuring",1 Bleeding,1,"Deal (1) damage to any target.

""Loose!""",XXX,XXX,XXX,XXX,1,Bleeding,C,1
Sluggish Giant,"Giant, Being","2 Faithless, 2 Bleeding",4,Just a few MASSIVE steps behind.,3,3,XXX,1,1,Bleeding,C,0
Smelt,Conjuring,1 Bleeding,1,Sacrifice a non Armament Relic: Add (1) Forge Counter to target Relic,XXX,XXX,XXX,XXX,1,Bleeding,C,
Smite,Prophecy,1 Bleeding,1,Destroy Being Smite points to (Opponent does not take lifespan damage from it dying).,XXX,XXX,2,1,1,Bleeding,C,0
Smith Assistant ,"Goblin, Being","1 Faithless, 1 Bleeding",2,Engage: Move an Armament in any direction. ,1,2,XXX,1,1,Bleeding,U,0
Smithing Tools,Relic,2 Bleeding,2,"Engage a Being, Gain (1) Forge Counter.
Engage, Remove (X) Forge Counters: Add an Armament from deck to hand with conjuring cost (X)",XXX,XXX,XXX,XXX,1,Bleeding,U,1
Spirit of War,"Spirit, Being",1 Bleeding,1,"Whenever a different Being you control Fights, gain +1/+0 until the end of turn.",0,2,XXX,"2, 5, 8",1,Bleeding,U,0
Strike the Ore,Conjuring,1 Bleeding,1,Engage a Being you control: Draw (1) card.,XXX,XXX,XXX,XXX,1,Bleeding,C,0
Tactical Withdraw,Prophecy,2 Bleeding,2,"All Beings move backwards if possible.
If no Beings move then each player may return a Being they control to their hand.",XXX,XXX,2,XXX,1,Bleeding,R,0
Tiny Forge Master ,"Human, Being",1 Bleeding,1,"When summoned sacrifice an Armament, then draw (1) card.",1,1,XXX,1,1,Bleeding,C,0
Vadē Rah,Relic,3 Bleeding,3,"If this is engaged at the end of the turn sacrifice it.
Engage, Sacrifice the Being on this tile: add a Rhak-tùrin Deity to hand from deck that shares a type with the sacrificed Being. 
 Beings may move across Vadē Rah.",XXX,XXX,XXX,XXX,1,Bleeding,U,0
Venomous Viper,"Serpent, Being",3 Bleeding,3,Engage: Target Being has (-X/-0) strength until end of turn where (X) is Venomous Viper's Strength.,0,2,XXX,"1, 4, 6",1,Bleeding,C,0
Vyu-bhata,"Ethereal, Conjuring","1 Faithless, 3 Bleeding",4,"Give target Being you control (+1/+1), reconjure this for each adjacent Being you control.",XXX,XXX,XXX,XXX,1,Bleeding,R,0
Wounded Turanga,"Turanga, Being",1 Bleeding,1,When summoned deal (2) Damage to Wounded Turanga.,2,4,XXX,"1, 3, 5",1,Bleeding,C,0
Acrobatic Escape,"Ethereal, Conjuring",3 Faithless,3,"Engage target Being you control: Move it, then move it again.",XXX,XXX,XXX,XXX,1,Faithless,U,1
All or nothing ,Conjuring,4 Faithless,4,"Discard your hand and Craft (3) Effigies.
 At the start of your next turn draw (1) additional card. 
Your Turn Ends.",XXX,XXX,XXX,XXX,1,Faithless,R,0
Animate,Conjuring,1 Faithless,1,"Until end of turn target Relic becomes a 1/1 Armament and Being, it can move any direction.",XXX,XXX,XXX,"3, 7",1,Faithless,U,0
Appease the Masses,Prophecy,3 Faithless,3,"Gain (1) Time Counter
All cards cost (-1) Faithless.",XXX,XXX,1,XXX,1,Faithless,R,0
Armor Animus,"Relic, Armament",2 Faithless,2,"Martyr: Being this is attatched to gains ""Depart: Summon this in the Mortal Realm engaged"".",XXX,XXX,XXX,XXX,1,Faithless,R,0
Author ,"Human, Being",2 Faithless,2,When summoned add a Prophecy to hand from deck. ,0,2,XXX,1,1,Faithless,U,0
Blasphemy,Conjuring,2 Faithless,2,Destroy a Prophecy.,XXX,XXX,XXX,XXX,1,Faithless,U,0
Brick,"Relic, Armament",1 Faithless,1,"Being gains: 
""Engage: Deal (1) Damge to target Being, then move Brick to the tile occupied by the targeted Being"".
 
""When Life deals you a bad hand. Throw it at the opponent"" -  Ken the Gambler",XXX,XXX,XXX,XXX,1,Faithless,C,0
Broken Broom,"Relic, Armament",0,0,Being gains +0/+0.,XXX,XXX,XXX,XXX,1,Faithless,C,0
Charge Forward,Prophecy,1 Faithless,1,Modulate (-1).,XXX,XXX,2,XXX,1,Faithless,C,0
Collapsing Bridge,Relic,2 Faithless,2,"When summoned gain (2) Crossing Counters.
Engage: Remove (1) Crossing Counter, you may summon a Being on a tile that Collapsing Bridge points to.",XXX,XXX,XXX,"1, 2, 8",1,Faithless,U,0
Convenient Corrosion  ,Conjuring,2 Faithless,2,Destroy an Armament.,XXX,XXX,XXX,XXX,1,Faithless,U,0
